,snapshot,altitude (ft),heading,latitude,longitude,radar_id,ground speed (kts),squawk,date,flight_radar_flight_id,CAS (kts),TAS (kts),x (m),y (m),Distance (m),Distance (ft),ROC (ft/min)
42,1574798919,0,323,48.73511,2.36044,9996,23,1000,2019-11-26T00:00:00.000Z,586933868,17.5031782557562,17.5440131195,-1397.91590411442,1309.82810525869,,,
43,1574798931,0,258,48.7352,2.35987,9996,16,1000,2019-11-26T00:00:00.000Z,586933868,18.952636302195,18.9968527473273,-1439.84198453131,1319.84710411577,0,0,0
44,1574798972,0,239,48.73481,2.35877,22560,37,1000,2019-11-26T00:00:00.000Z,586933868,42.1501360875526,42.2484722319241,-1520.76853958382,1276.49875463307,91.805156257926,301.198019218917,0
45,1574798980,0,241,48.73362,2.35547,22560,76,1000,2019-11-26T00:00:00.000Z,586933868,80.8459497637513,81.0345631283987,-1763.55641319154,1144.23662648953,368.281596686427,1208.27295500796,0
46,1574799006,825,242,48.72647,2.33523,22560,161,1000,2019-11-26T00:00:00.000Z,586933868,163.545504739129,165.925291802605,-3252.8963927889,349.791310511049,2056.26173131693,6746.26552269334,31.7307692307692
47,1574799016,1225,241,48.72311,2.32534,22560,153,1000,2019-11-26T00:00:00.000Z,586933868,154.851717453899,158.034563128399,-3980.78505522115,-23.3860530153438,2874.23682234716,9429.9108344723,40
48,1574799027,1700,241,48.71979,2.316,22560,146,1000,2019-11-26T00:00:00.000Z,586933868,146.956422311873,151.034563128399,-4668.2971662597,-392.054536248728,3654.35819325959,11989.3641511141,43.1818181818182
49,1574799037,2200,241,48.71672,2.30734,22560,139,1000,2019-11-26T00:00:00.000Z,586933868,139.109146110319,144.034563128399,-5305.83481264948,-732.885153700374,4377.28264322424,14361.1635276386,50
50,1574799047,2575,241,48.71357,2.29867,22560,142,1000,2019-11-26T00:00:00.000Z,586933868,141.215885801039,147.034563128399,-5944.1953472361,-1082.5387889419,5105.13004258439,16749.1143129409,37.5
51,1574799057,2900,241,48.71036,2.28973,22560,146,1000,2019-11-26T00:00:00.000Z,586933868,144.355644539161,151.034563128399,-6602.51406884364,-1438.76858285758,5853.65072051667,19204.8908153434,32.5
52,1574799066,3250,239,48.70706,2.28058,22560,147,1000,2019-11-26T00:00:00.000Z,586933868,144.755888632438,152.248472231924,-7276.38544914326,-1804.90935627346,6620.56773241853,21721.0227441553,38.8888888888889
53,1574799077,3500,236,48.70312,2.27107,22560,158,1000,2019-11-26T00:00:00.000Z,586933868,154.926364334052,163.557266963672,-7976.94380148454,-2242.10208702869,7446.35189844519,24430.2883807257,22.7272727272727
54,1574799086,3725,235,48.69896,2.26185,22560,170,1000,2019-11-26T00:00:00.000Z,586933868,165.82618096147,175.656854249492,-8656.30187950208,-2703.70504266954,8267.69511953127,27124.9839879635,25
55,1574799097,3925,234,48.69411,2.25149,22560,181,1000,2019-11-26T00:00:00.000Z,586933868,175.773414547388,186.754718402709,-9419.82496006436,-3241.81603062574,9201.78876039952,30189.5956706021,18.1818181818182
56,1574799107,4050,234,48.68889,2.24034,22560,198,1000,2019-11-26T00:00:00.000Z,586933868,191.413183810063,203.754718402709,-10241.7341675868,-3820.86240962505,10207.18890683,33488.1525814633,12.5
57,1574799117,4275,234,48.68312,2.22806,22560,218,1000,2019-11-26T00:00:00.000Z,586933868,209.489938459356,223.754718402709,-11147.1411132698,-4460.78545525038,11315.9103513838,37125.6901292118,22.5
58,1574799127,4575,235,48.67708,2.21508,22560,232,1000,2019-11-26T00:00:00.000Z,586933868,221.499819501112,237.656854249492,-12104.3697961597,-5130.47595334579,12484.1449659139,40958.4808592976,30
59,1574799137,4875,235,48.67099,2.20177,22560,244,1000,2019-11-26T00:00:00.000Z,586933868,231.629778467606,249.656854249492,-13086.1454707884,-5805.50610766184,13675.5933217098,44867.4321578405,30
60,1574799148,5325,225,48.66333,2.18722,22560,250,1000,2019-11-26T00:00:00.000Z,586933868,236.408041681862,256.553216354312,-14159.9380111112,-6654.72376649117,15044.6079497252,49358.9499662902,40.9090909090909
61,1574799157,5875,208,48.65428,2.17776,22560,248,1000,2019-11-26T00:00:00.000Z,586933868,233.57252837254,255.608452130361,-14859.4593175376,-7659.31390149978,16268.7531198342,53375.1742776714,61.1111111111111
62,1574799163,6225,196,48.64856,2.17452,22560,248,1000,2019-11-26T00:00:00.000Z,586933868,232.642708436634,255.956175162946,-15099.8823562766,-8294.76087653751,16948.1617565479,55604.2052380179,58.3333333333333
