Spectral Class ID;Op Type;Description;L_50Hz;L_63Hz;L_80Hz;L_100Hz;L_125Hz;L_160Hz;L_200Hz;L_250Hz;L_315Hz;L_400Hz;L_500Hz;L_630Hz;L_800Hz;L_1000Hz;L_1250Hz;L_1600Hz;L_2000Hz;L_2500Hz;L_3150Hz;L_4000Hz;L_5000Hz;L_6300Hz;L_8000Hz;L_10000Hz
103;Departure                                         ;2-Engine.HighByPass.Tfan;56.7;66.1;70.1;72.8;76.6;73.0;74.5;77.0;75.3;72.2;72.2;71.2;70.2;70.0;69.6;71.1;70.6;67.1;63.4;63.5;58.2;51.5;42.3;37.7
202;Approach                                          ;2-Engine.Low/HighByPass.Tfan;68.5;68.5;68.5;68.4;68.5;70.9;73.3;67.3;72.6;72.5;72.1;75.4;75.4;70.0;68.9;68.3;65.8;64.7;63.5;62.1;60.2;57.8;48.6;38.8
